"Seed lot","Latitude collected","Longitude collected","Number of seedlings scored (Assay)","Mean seedling score (Assay)","Seedling score SD (Assay)","Maternal line score (GenomPred)","Number of seedlings scored (GenomPred)","Mean seedling score (GenomPred)","Seedling score SD (GenomPred)"
"NSW1074324",-33.28,151.56,5,0,0,2.04,1,0.11,NA
"NSW1074423",-33.2,151.55,9,7.78,13.62,2.04,6,1.37,0.82
"NSW1074428",-33.2,151.55,1,0,NA,2.1,NA,NA,NA
"NSW1074429",-33.21,151.55,4,11.62,7.89,NA,2,2.07,0.05
"NSW1074433",-33.29,151.55,5,33.45,38.3,NA,4,1.55,1.05
"NSW1074453",-33.28,151.56,4,21.67,33.29,2.06,1,1.52,NA
"NSW1074458",-33.21,151.55,3,5.5,8.23,2.1,1,0.99,NA
"NSW1075718",-33.49,151.42,4,10.5,5.2,2.12,2,1.54,0.01
"NSW1075719",-33.49,151.42,5,10.1,22.31,2.14,3,0.31,0.42
"NSW1075720",-33.49,151.42,10,11.7,17.49,2.14,2,1.78,0.97
"NSW1075721",-33.49,151.42,1,0,NA,2.14,NA,NA,NA
"NSW1075722",-33.49,151.42,3,20.5,27.58,2.14,2,1.67,0.99
"NSW1075723",-33.49,151.42,4,3.75,4.79,2.15,2,0.97,1
"NSW1079653",-33.2,151.55,1,0,NA,2.09,NA,NA,NA
"NSW1079654",-33.2,151.55,9,16.33,13.19,2.09,3,1.88,0.15
"NSW1079670",-33.28,151.55,10,26.6,18.78,2.09,6,2.34,0.48
"NSW1079671",-33.28,151.55,2,0.25,0.35,2.07,1,0.95,NA
"NSW1079672",-33.28,151.55,4,2.12,1.65,2.08,3,0.89,0.69
"NSW1079675",-33.21,151.55,7,23.57,13.93,2.08,3,2,0.46
"NSW1079677",-33.28,151.55,10,26.75,22.79,NA,74,0.19,0.39
"NSW1079680",-33.29,151.55,8,11.69,11.76,NA,5,1.65,0.13
"NSW1079681",-33.28,151.55,2,51,12.73,2.07,2,2.64,0.25
"NSW1079682",-33.29,151.55,10,16.52,22.55,2.07,3,1.89,0.72
"NSW1079687",-33.21,151.55,5,36.6,26.03,2.08,4,2.3,0.53
"NSW1079702",-33.21,151.55,4,23.33,17.56,2.09,1,2.38,NA
"NSW1079707",-33.21,151.55,3,25.67,29.94,2.08,NA,NA,NA
"NSW1079717",-33.21,151.55,3,36.67,30.55,2.1,67,0.19,0.45
